sector,treatment,variable,label,date,posterior_median,lower_95,upper_95,p_gt_0,diagnostics_ready
Secano,M0,nni_revised,INN revisado latente,Oct,0.5722709081415147,0.531337358185004,0.6145556319208818,1.0,True
Secano,M0,nni_revised,INN revisado latente,Nov,0.6064003445939077,0.5567579682845452,0.6590546615475205,1.0,True
Secano,M1,nni_revised,INN revisado latente,Sep,1.3843248649131428,1.2578604817148336,1.516412842355816,1.0,True
Secano,M1,nni_revised,INN revisado latente,Oct,1.1128930571366769,1.0274852464159352,1.2096946853000805,1.0,True
Secano,M1,nni_revised,INN revisado latente,Nov,0.881128170533653,0.8133101198408855,0.950550001827044,1.0,True
Secano,M2,nni_revised,INN revisado latente,Sep,1.287427234634387,1.1695353869017169,1.421659569597132,1.0,True
Secano,M2,nni_revised,INN revisado latente,Oct,1.091165626240624,1.0063864688609925,1.1949566468473594,1.0,True
Secano,M2,nni_revised,INN revisado latente,Nov,0.903766358531244,0.8347359233308712,0.9772836120794618,1.0,True
Secano,M3,nni_revised,INN revisado latente,Sep,1.1541888754935248,1.065252134729419,1.244020817059209,1.0,True
Secano,M3,nni_revised,INN revisado latente,Oct,1.1221623466334747,1.0336185915512694,1.2203600166575546,1.0,True
Secano,M3,nni_revised,INN revisado latente,Nov,0.8495219204415685,0.7883692918625639,0.9176947480360456,1.0,True
Secano,M4,nni_revised,INN revisado latente,Sep,1.1105840147399189,1.0056888265511883,1.2230153576091518,1.0,True
Secano,M4,nni_revised,INN revisado latente,Oct,1.237000028751366,1.1513475237093749,1.3262147961697497,1.0,True
Secano,M4,nni_revised,INN revisado latente,Nov,0.9819071153215476,0.907329215100036,1.0633457491297735,1.0,True
Secano,M5,nni_revised,INN revisado latente,Sep,0.8907788412637394,0.8197734516730835,0.9688921610699548,1.0,True
Secano,M5,nni_revised,INN revisado latente,Oct,1.1692649129383197,1.0662624525070097,1.2800346916844885,1.0,True
Secano,M5,nni_revised,INN revisado latente,Nov,0.8422939119320902,0.7753381210996549,0.917076691776653,1.0,True
Riego,M0,nni_revised,INN revisado latente,Sep,0.5989885561227053,0.5463462958939921,0.6513365183656006,1.0,True
Riego,M0,nni_revised,INN revisado latente,Oct,0.5740520399763281,0.5362007317777907,0.6148555724489766,1.0,True
Riego,M0,nni_revised,INN revisado latente,Nov,0.6075069214675505,0.5595287354034969,0.6589671958629338,1.0,True
Riego,M1,nni_revised,INN revisado latente,Sep,1.4628836156429526,1.3332516506336225,1.5984148998846512,1.0,True
Riego,M1,nni_revised,INN revisado latente,Oct,1.1600496845857635,1.07728036712168,1.2427728929478263,1.0,True
Riego,M1,nni_revised,INN revisado latente,Nov,0.8840655961465653,0.8189657889294408,0.9573197675704128,1.0,True
Riego,M2,nni_revised,INN revisado latente,Sep,1.348393774152059,1.2259872791668152,1.4897543591233806,1.0,True
Riego,M2,nni_revised,INN revisado latente,Oct,1.061087231585454,0.9862866076364232,1.1434056485186168,1.0,True
Riego,M2,nni_revised,INN revisado latente,Nov,0.8783797556255788,0.818149929340785,0.9458276392700076,1.0,True
Riego,M3,nni_revised,INN revisado latente,Sep,1.0333231282761628,0.9444743613610986,1.1326307584789626,1.0,True
Riego,M3,nni_revised,INN revisado latente,Oct,0.9491227099092716,0.8795789030513059,1.029021294036846,1.0,True
Riego,M3,nni_revised,INN revisado latente,Nov,0.7370981758435123,0.6832887670402197,0.7961778669434146,1.0,True
Riego,M4,nni_revised,INN revisado latente,Sep,1.127867093029882,1.0328878378852733,1.2344033129264833,1.0,True
Riego,M4,nni_revised,INN revisado latente,Oct,1.2269171201873612,1.1427404797918688,1.320430782020622,1.0,True
Riego,M4,nni_revised,INN revisado latente,Nov,0.9737736639001984,0.9023645348373156,1.0534381988724717,1.0,True
Riego,M5,nni_revised,INN revisado latente,Sep,1.0026825472466805,0.9181684510975096,1.0965150946811588,1.0,True
Riego,M5,nni_revised,INN revisado latente,Oct,1.2757038242897805,1.1728791689832272,1.3856821679918925,1.0,True
Riego,M5,nni_revised,INN revisado latente,Nov,0.907815132802866,0.8343123176899633,0.986367136092532,1.0,True
