observation_id,dry_matter_pct_from_weights,dry_matter_abs_difference_pp,dry_matter_relative_difference,dry_matter_issue,biomass_reported_kg_ha,biomass_recorded_dm_kg_ha,biomass_ratio_dm_kg_ha,biomass_recalculation_difference_kg_ha,tiller_density_m2
dm_20250916_riego_m5_r4,21.043000914913083,0.04300091491308322,0.0020476626149087246,false,5637.0,5625.789473684211,5637.309192468821,-11.210526315789139,
dm_20250916_riego_m4_r4,22.265246853823815,0.03475314617618608,0.0015584370482594654,false,7506.0,7517.4473684210525,7505.731899933764,11.447368421052488,
dm_20250916_riego_m3_r4,25.13747054202671,0.037470542026706966,0.0014928502799484845,false,7528.0,7516.78947368421,7528.010914954314,-11.210526315790048,
dm_20250916_riego_m2_r4,17.634092578986042,0.03409257898604068,0.0019370783514795838,false,9258.0,9240.000000000002,9257.898603967671,-17.99999999999818,
dm_20251020_secano_m0_r1,34.04255319148936,0.0425531914893611,0.001251564455569444,false,5948.0,5941.052631578948,5948.4882418812995,-6.9473684210515785,
dm_20251020_secano_m1_r1,31.25,0.05000000000000071,0.0015974440894568917,false,15329.0,15353.473684210525,15328.947368421052,24.47368421052488,
dm_20251020_secano_m2_r1,27.22772277227723,0.027722772277229524,0.0010192195690157913,false,12704.0,12690.947368421053,12703.882230328296,-13.052631578946603,
dm_20251020_secano_m3_r1,27.55741127348643,0.04258872651357137,0.001543069801216354,false,11328.0,11345.052631578947,11327.54642346995,17.052631578946603,
dm_20251020_secano_m4_r1,29.591836734693878,0.008163265306123435,0.00027578599007173766,false,9835.0,9838.105263157895,9835.392051557465,3.105263157895024,
dm_20251020_secano_m5_r1,40.69767441860465,0.0023255813953539928,5.713959202343962e-05,false,10132.0,10132.157894736843,10131.578947368422,0.15789473684344557,
dm_20251020_secano_m3_r2,30.081300813008134,0.018699186991867123,0.0006212354482347881,false,15365.0,15374.763157894737,15365.211810012837,9.76315789473665,
dm_20251020_secano_m2_r2,30.112359550561795,0.012359550561793498,0.00041061629773400324,false,16562.0,16555.0,16561.797752808987,-7.0,
dm_20251020_secano_m4_r2,32.47422680412371,0.025773195876290345,0.0007930214115781644,false,13374.0,13384.868421052632,13374.253933803579,10.868421052631675,
dm_20251020_secano_m0_r2,31.775700934579437,0.024299065420564148,0.0007641215541057907,false,7668.0,7673.8421052631575,7667.978357107722,5.842105263157464,
dm_20251020_secano_m1_r2,30.225988700564972,0.025988700564973044,0.000860552998840167,false,13220.0,13208.526315789473,13219.892952720786,-11.473684210526699,
dm_20251020_secano_m5_r2,28.918322295805737,0.01832229580573852,0.0006339894742470076,false,9307.0,9301.236842105263,9307.133728360637,-5.763157894736651,
dm_20251020_secano_m3_r3,28.440366972477065,0.040366972477066554,0.001421372270319245,false,11039.0,11023.684210526315,11039.352969579912,-15.315789473685072,
dm_20251020_secano_m4_r3,28.14070351758794,0.04070351758793933,0.001448523757577912,false,13530.0,13510.184210526319,13529.754033324518,-19.815789473681434,
dm_20251020_secano_m0_r3,31.25,0.05000000000000071,0.0015974440894568917,false,4942.0,4950.342105263158,4942.434210526316,8.342105263158373,
dm_20251020_secano_m1_r3,29.745042492917843,0.0450424929178439,0.0015165822531260573,false,10325.0,10309.026315789473,10324.66080214701,-15.973684210526699,
dm_20251020_secano_m5_r3,29.80132450331126,0.0013245033112596616,4.444641984092824e-05,false,8352.0,8351.842105263157,8352.213314743814,-0.15789473684344557,
dm_20251020_secano_m2_r3,32.266666666666666,0.03333333333333144,0.0010319917440659888,false,9892.0,9902.5,9892.280701754386,10.5,
dm_20251020_secano_m1_r4,26.07361963190184,0.02638036809816313,0.0010107420727265568,false,11541.0,11552.684210526317,11541.007426541813,11.684210526316747,
dm_20251020_secano_m0_r4,32.86713286713287,0.03286713286713194,0.000999000999000971,false,7862.0,7870.026315789472,7862.164151637836,8.026315789472392,
dm_20251020_secano_m5_r4,26.978417266187048,0.02158273381295217,0.0007993605115908212,false,11374.0,11382.63157894737,11373.532752745172,8.631578947370144,
dm_20251020_secano_m4_r4,26.746987951807228,0.046987951807228256,0.0017598483822931933,false,10903.0,10883.763157894737,10902.91693088142,-19.23684210526335,
dm_20251020_secano_m3_r4,31.06796116504854,0.03203883495146087,0.0010301876190180344,false,15689.0,15705.5,15689.320388349513,16.5,
dm_20251020_secano_m2_r4,29.629629629629626,0.029629629629624787,0.0010010010010008373,false,12304.0,12291.789473684214,12304.093567251462,-12.21052631578641,
dm_20251020_riego_m0_r1,30.739299610894943,0.03929961089494327,0.001280117618727794,false,5476.0,5469.4473684210525,5476.448904362072,-6.552631578947512,
dm_20251020_riego_m1_r1,24.566473988439306,0.03352601156069568,0.0013628459984022633,false,13473.0,13491.157894736845,13472.771524186186,18.157894736845265,
dm_20251020_riego_m2_r1,24.73404255319149,0.0340425531914903,0.0013782410198983927,false,11052.0,11037.000000000002,11052.211646136617,-14.999999999998181,
dm_20251020_riego_m3_r1,26.64756446991404,0.04756446991403962,0.0017881379666932187,false,10771.0,10752.0,10771.226059417886,-19.0,
dm_20251020_riego_m4_r1,23.636363636363637,0.036363636363635266,0.001540832049306579,false,10406.0,10390.21052631579,10406.22009569378,-15.789473684209952,
dm_20251020_riego_m5_r1,23.376623376623375,0.02337662337662394,0.000999000999001023,false,9271.0,9279.947368421052,9270.67669172932,8.947368421051578,
dm_20251020_riego_m3_r2,26.82926829268293,0.02926829268292863,0.0010921004732436057,false,11042.0,11030.315789473685,11042.362002567394,-11.684210526314928,
dm_20251020_riego_m2_r2,24.92581602373887,0.02581602373887293,0.0010367881019627684,false,11584.0,11571.947368421053,11583.945025769171,-12.052631578946603,
dm_20251020_riego_m4_r2,23.7012987012987,0.0012987012987011326,5.4797523151946524e-05,false,10510.0,10509.07894736842,10509.654818865345,-0.9210526315800962,
dm_20251020_riego_m0_r2,30.136986301369863,0.03698630136986125,0.0012287807764073506,false,5916.0,5909.105263157895,5916.366258111029,-6.894736842104976,
dm_20251020_riego_m1_r2,20.8955223880597,0.004477611940298942,0.00021423980575593026,false,13197.0,13200.0,13197.17203456402,3.0,
dm_20251020_riego_m5_r2,22.606382978723406,0.006382978723404875,0.0002824326868763219,false,9548.0,9545.526315789473,9548.22228443449,-2.4736842105266987,
dm_20251020_riego_m3_r3,27.142857142857142,0.04285714285714093,0.0015814443858723588,false,14850.0,14826.552631578948,14850.0,-23.44736842105158,
dm_20251020_riego_m4_r3,25.2,0.0,0.0,false,14497.0,14496.631578947367,14496.631578947367,-0.3684210526334937,
dm_20251020_riego_m0_r3,28.719723183391004,0.01972318339100454,0.0006872189334844787,false,5555.0,5551.184210526315,5554.99908941905,-3.815789473685072,
dm_20251020_riego_m1_r3,21.25984251968504,0.040157480314960026,0.001885327714317372,false,11564.0,11586.078947368422,11564.235391628677,22.078947368421723,
dm_20251020_riego_m5_r3,21.85792349726776,0.04207650273223962,0.0019213014946228137,false,9359.0,9376.65789473684,9358.642507909117,17.657894736839808,
dm_20251020_riego_m2_r3,27.07774798927614,0.02225201072386085,0.0008211074067845331,false,12420.0,12430.342105263157,12420.135459291661,10.342105263156554,
dm_20251020_riego_m1_r4,22.572815533980584,0.02718446601941693,0.0012028524787352623,false,15748.0,15766.473684210527,15747.50894225856,18.4736842105267,
dm_20251020_riego_m0_r4,29.47019867549669,0.02980132450331041,0.0010102143899427258,false,6677.0,6684.078947368421,6677.326594632275,7.078947368420813,
dm_20251020_riego_m5_r4,23.49570200573066,0.004297994269339966,0.00018289337316340282,false,12688.0,12690.0,12687.679083094556,2.0,
dm_20251020_riego_m4_r4,23.427331887201735,0.027331887201736293,0.0011680293675955682,false,10197.0,10185.157894736842,10197.054458271492,-11.842105263158373,
dm_20251020_riego_m3_r4,27.851458885941643,0.048541114058355816,0.0017398248766435777,false,9785.0,9801.710526315788,9784.657266508444,16.71052631578823,
dm_20251020_riego_m2_r4,29.315068493150687,0.015068493150685924,0.0005142830426855264,false,14094.0,14087.131578947365,14094.3763518385,-6.868421052635313,
dm_20251112_secano_m0_r1,26.623376623376622,1.8766233766233782,0.06584643426748696,false,10222.5,10222.5,9549.384825700614,0.0,
dm_20251112_secano_m1_r1,21.428571428571427,0.7714285714285722,0.034749034749034784,false,13121.368421052632,13121.368421052632,12665.413533834588,0.0,
dm_20251112_secano_m2_r1,20.232558139534884,0.8674418604651173,0.04111098864763589,false,13048.684210526319,13048.684210526315,12512.239902080782,-3.637978807091713e-12,
dm_20251112_secano_m3_r1,25.41899441340782,1.381005586592181,0.05153005920120079,false,14020.63157894737,14020.631578947368,13298.147603645984,-1.8189894035458565e-12,
dm_20251112_secano_m4_r1,22.972972972972975,1.5270270270270245,0.062327633756205085,false,9090.78947368421,9090.78947368421,8524.182076813657,0.0,
dm_20251112_secano_m5_r1,24.369747899159663,1.4302521008403382,0.05543612793954799,false,10028.052631578948,10028.052631578948,9472.136222910216,0.0,
dm_20251112_secano_m3_r2,21.472392638036812,0.9276073619631866,0.04141104294478512,false,12573.473684210527,12573.473684210527,12052.793025508558,0.0,
dm_20251112_secano_m2_r2,22.463768115942027,0.9362318840579711,0.04000990957512697,false,15419.368421052632,15419.368421052628,14802.440884820748,-3.637978807091713e-12,
dm_20251112_secano_m4_r2,21.3953488372093,1.2046511627907002,0.05330314879604868,false,12751.157894736843,12751.157894736843,12071.481028151775,0.0,
dm_20251112_secano_m0_r2,26.148409893992934,2.351590106007066,0.08251193354410759,false,5595.0,5595.0,5133.345731820718,0.0,
dm_20251112_secano_m1_r2,25.689655172413794,1.210344827586205,0.04499423150878086,false,17003.631578947367,17003.631578947367,16238.566243194193,0.0,
dm_20251112_secano_m5_r2,22.645290581162325,1.254709418837674,0.05249830204341732,false,10622.92105263158,10622.921052631578,10065.23573462715,-1.8189894035458565e-12,
dm_20251112_secano_m3_r3,20.66420664206642,0.6357933579335793,0.029849453424111702,false,13945.894736842107,13945.894736842103,13529.617401437174,-3.637978807091713e-12,
dm_20251112_secano_m4_r3,23.112128146453088,1.387871853546912,0.056647830757016814,false,14700.0,14700.0,13867.276887871853,0.0,
dm_20251112_secano_m0_r3,28.49162011173184,1.7083798882681585,0.05656887047245558,false,10395.157894736842,10395.157894736842,9807.115554248749,0.0,
dm_20251112_secano_m1_r3,21.499013806706113,1.3009861932938875,0.057060797951486296,false,15048.000000000002,15048.000000000002,14189.349112426034,0.0,
dm_20251112_secano_m5_r3,23.9247311827957,1.6752688172043015,0.06544018817204303,false,10469.052631578947,10469.052631578948,9783.9558573854,1.8189894035458565e-12,
dm_20251112_secano_m2_r3,25.241157556270092,1.0588424437299082,0.04026016896311438,false,10990.631578947368,10990.63157894737,10548.146894567608,1.8189894035458565e-12,
dm_20251112_secano_m1_r4,20.544090056285178,0.35590994371482054,0.017029183909800027,false,13304.5,13304.5,13077.935222672066,0.0,
dm_20251112_secano_m0_r4,25.986842105263158,1.3131578947368432,0.04810102178523235,false,12378.394736842109,12378.394736842105,11782.981301939059,-3.637978807091713e-12,
dm_20251112_secano_m5_r4,25.0,1.1999999999999993,0.045801526717557224,false,13541.263157894738,13541.263157894737,12921.052631578947,-1.8189894035458565e-12,
